no_spm;sum(jumlah_debet)
00002/W44/SPM-LSK/OKT/2017;59620000
00002/W44/SPM-LSNK/AGU/2017;22950000
00003/BPS/SPM-GUP/MEI/2017;137884180
00003/BPS/SPM-LSK/DES/2017;174297000
00003/FEB/SPM-LS PGW/MAR/2017;74574430
00003/FEB/SPM-LSK/AGU/2017;9843822
00003/FEB/SPM-LSNK/OKT/2017;110825000
00003/FEB/SPM-TUP-NIHIL/DES/2017;1139291268
00003/FEB/SPM-TUP/DES/2017;1139291268
00003/FHU/SPM-GUP/FEB/2017;446275482
00003/FHU/SPM-LS PGW/MAR/2017;61510589
00003/FHU/SPM-LSNK/OKT/2017;48650000
00003/FHU/SPM-TUP-NIHIL/OKT/2017;487298000
00003/FHU/SPM-TUP/NOV/2017;1029582000
00003/FIB/SPM-GUP/FEB/2017;138218784
00003/FIB/SPM-LS PGW/FEB/2017;10898640
00003/FIB/SPM-LSK/OKT/2017;34400000
00003/FIB/SPM-LSNK/OKT/2017;498470000
00003/FIS/SPM-GUP/MAR/2017;118972896
00003/FIS/SPM-LS PGW/MAR/2017;6408000
00003/FIS/SPM-LSK/AGU/2017;141736338
00003/FIS/SPM-LSNK/OKT/2017;80000000
00003/FKE/SPM-GUP/MAR/2017;339123740
00003/FKE/SPM-LS PGW/MAR/2017;8544000
00003/FKE/SPM-LSK/SEP/2017;181556000
00003/FKE/SPM-LSNK/SEP/2017;25268500
00003/FKE/SPM-TUP-NIHIL/NOV/2017;113800000
00003/FKE/SPM-TUP/OKT/2017;113800000
00003/FKM/SPM-GUP/MAR/2017;177663410
00003/FKM/SPM-LS PGW/MAR/2017;2136000
00003/FKM/SPM-LSK/OKT/2017;66819431
00003/FKM/SPM-LSNK/OKT/2017;28645000
00003/FKM/SPM-TUP-NIHIL/DES/2017;1156563370
00003/FPK/SPM-GUP/MAR/2017;83633592
00003/FPK/SPM-LS PGW/MAR/2017;3204000
00003/FPK/SPM-LSK/SEP/2017;136613400
00003/FPK/SPM-LSNK/OKT/2017;85225000
00003/FPK/SPM-TUP/OKT/2017;182160500
00003/FPP/SPM-LS PGW/MAR/2017;30262461
00003/FPP/SPM-LSK/OKT/2017;152037000
00003/FPP/SPM-LSNK/OKT/2017;57000000
00003/FPS/SPM-GUP/FEB/2017;97378868
00003/FPS/SPM-LS PGW/APR/2017;14435238
00003/FPS/SPM-LSK/OKT/2017;46836900
00003/FPS/SPM-LSNK/AGU/2017;14000000
00003/FSM/SPM-GUP/MAR/2017;86793580
00003/FSM/SPM-LS PGW/MAR/2017;44071771
00003/FSM/SPM-LSK/SEP/2017;34410000
00003/FSM/SPM-LSNK/OKT/2017;15000000
00003/FTE/SPM-GUP/FEB/2017;326562624
00003/FTE/SPM-LSK/SEP/2017;47442000
00003/FTE/SPM-LSNK/AGU/2017;29900000
00003/FTE/SPM-TUP-NIHIL/NOV/2017;1206160073
00003/FTE/SPM-TUP/OKT/2017;1206160073
00003/LMP/SPM-LSK/OKT/2017;191650000
00003/LMP/SPM-TUP-NIHIL/SEP/2017;1380800000
00003/LMP/SPM-TUP/JUL/2017;840144000
00003/LPM/SPM-GUP/MAR/2017;240400000
00003/LPM/SPM-LSK/OKT/2017;38550000
00003/LPM/SPM-LSNK/DES/2017;40072000
00003/LPM/SPM-TUP-NIHIL/JUN/2017;10234000000
00003/LPM/SPM-TUP/NOV/2017;268838000
00003/MWA/SPM-LS PGW/JUN/2017;125000000
00003/MWA/SPM-LSNK/DES/2017;40000000
00003/PTN/SPM-GUP/JUL/2017;154622958
00003/PTN/SPM-LS PGW/APR/2017;7969140
00003/PTN/SPM-LSK/AGU/2017;80648700
00003/PTN/SPM-LSNK/AGU/2017;34600000
00003/PTN/SPM-TUP-NIHIL/DES/2017;11325758267
00003/PTN/SPM-TUP/NOV/2017;750000000
00003/RSN/SPM-GUP/MAR/2017;499836160
00003/RSN/SPM-LS PGW/FEB/2017;29752323
00003/RSN/SPM-LSK/OKT/2017;41526529
00003/RSN/SPM-LSNK/AGU/2017;74646250
00003/SPI/SPM-GUP/MEI/2017;35783852
00003/SPS/SPM-GUP/MAR/2017;68980618
00003/SPS/SPM-LS PGW/FEB/2017;38856344
00003/SPS/SPM-LSNK/DES/2017;7403000
00003/SVO/SPM-LS PGW/MAR/2017;13231666
00003/SVO/SPM-LSK/SEP/2017;28650000
00003/SVO/SPM-TUP-NIHIL/DES/2017;2750000000
00003/SVO/SPM-TUP/NOV/2017;2750000000
00003/W11/SPM-GUP/APR/2017;128024300
00003/W11/SPM-LS PGW/DES/2017;27337500
00003/W11/SPM-LSK/SEP/2017;61800000
00003/W11/SPM-LSNK/AGU/2017;7630000
00003/W11/SPM-TUP-NIHIL/DES/2017;401710000
00003/W11/SPM-TUP/OKT/2017;401710000
00003/W12/SPM-LSK/SEP/2017;192654000
00003/W12/SPM-LSNK/AGU/2017;10673000
00003/W12/SPM-TUP/AGU/2017;884190000
00003/W14/SPM-GUP/DES/2017;26548800
00003/W21/SPM-GUP/MEI/2017;22224000
00003/W21/SPM-LSNK/OKT/2017;24846800
00003/W23/SPM-GUP/MAR/2017;541333680
00003/W23/SPM-LS PGW/FEB/2017;66521574
00003/W23/SPM-LSK/AGU/2017;590734000
00003/W23/SPM-LSNK/AGU/2017;339816400
00003/W23/SPM-TUP-NIHIL/OKT/2017;2000000000
00003/W23/SPM-TUP/SEP/2017;2000000000
00003/W24/SPM-GUP/MEI/2017;19998000
00003/W24/SPM-LSNK/SEP/2017;16600000
00003/W32/SPM-GUP/MEI/2017;137832616
00003/W32/SPM-LSNK/OKT/2017;9540000
00003/W34/SPM-GUP/MAR/2017;24195600
00003/W34/SPM-LSNK/OKT/2017;45725000
00003/W44/SPM-LSK/DES/2017;74165000
00003/W44/SPM-LSNK/AGU/2017;45500500
00004/BPS/SPM-GUP/JUN/2017;8200000
00004/FEB/SPM-GUP/MAR/2017;400191486
00004/FEB/SPM-LS PGW/APR/2017;74262284
00004/FEB/SPM-LSK/AGU/2017;9843822
00004/FEB/SPM-LSNK/NOV/2017;38380950
00004/FHU/SPM-LS PGW/MAR/2017;4272000
00004/FHU/SPM-LSNK/OKT/2017;1007425000
00004/FIB/SPM-LS PGW/FEB/2017;24486001
00004/FIB/SPM-LSK/OKT/2017;49760000
00004/FIB/SPM-LSNK/NOV/2017;213630000
00004/FIS/SPM-GUP/MAR/2017;239262644
00004/FIS/SPM-LS PGW/MAR/2017;6408000
00004/FIS/SPM-LSK/SEP/2017;59544100
00004/FIS/SPM-LSNK/OKT/2017;38092000
00004/FKE/SPM-GUP/APR/2017;594747914
00004/FKE/SPM-LS PGW/MAR/2017;8544000
00004/FKE/SPM-LSK/OKT/2017;89331000
00004/FKE/SPM-LSNK/SEP/2017;30901600
00004/FKE/SPM-TUP/NOV/2017;2118784020
00004/FKM/SPM-LS PGW/MAR/2017;2136000
00004/FKM/SPM-LSK/OKT/2017;37357000
00004/FKM/SPM-LSNK/OKT/2017;351750000
00004/FPK/SPM-GUP/MAR/2017;131976172
00004/FPK/SPM-LS PGW/MAR/2017;3204000
00004/FPK/SPM-LSK/OKT/2017;65450000
00004/FPK/SPM-TUP-NIHIL/DES/2017;677047738
00004/FPK/SPM-TUP/DES/2017;677047738
00004/FPP/SPM-GUP/MAR/2017;195034200
00004/FPP/SPM-LS PGW/APR/2017;30401343
00004/FPP/SPM-LSK/OKT/2017;77287000
00004/FPP/SPM-LSNK/OKT/2017;1000000
00004/FPS/SPM-LS PGW/MEI/2017;14359237
00004/FPS/SPM-LSK/NOV/2017;42322500
00004/FPS/SPM-LSNK/AGU/2017;15510000
00004/FSM/SPM-LS PGW/APR/2017;43682136
00004/FSM/SPM-LSK/OKT/2017;58040000
00004/FSM/SPM-LSNK/OKT/2017;251665800
00004/FTE/SPM-GUP/MAR/2017;515621240
00004/FTE/SPM-LSK/SEP/2017;195993000
00004/FTE/SPM-LSNK/AGU/2017;17500000
00004/FTE/SPM-TUP-NIHIL/DES/2017;4196043784
00004/LMP/SPM-GUP/MAR/2017;249036056
00004/LMP/SPM-TUP-NIHIL/DES/2017;1533162490
00004/LMP/SPM-TUP/AGU/2017;1380800000
